Code,Parents,Synonyms,Definition,Display Name,Semantic Type,Concept in Subset
C203828,C112883,T-cell Engaging Antibody|T Cell Engager|T-cell-engaging Antibody|TCE,Any antibody that simultaneously binds to the CD3 subunit within the T-cell receptor (TCR) complex expressed on T-cells and at least one tumor-associated antigen (TAA) expressed on tumor cells.,T-cell Engaging Antibody,"Amino Acid, Peptide, or Protein",CTRP Agent Terminology|CTRP Terminology
C20401,C308|C307,Monoclonal Antibody|MAb|MoAB|Monoclonal Antibodies|Monoclonal Antibody Therapy|monoclonal antibody,"An antibody produced by a clone or genetically homogenous fast-growing cells i.e., hybridoma. Hybridoma cells are cloned to establish cell lines producing a specific antibody that is chemically and immunologically homogeneous. They are widely used in cancer detection, diagnosis, and treatment.",Monoclonal Antibody,"Amino Acid, Peptide, or Protein",CTRP Agent Terminology|CTRP Terminology
C204213,C1450,Cisplatin Nano-engineered Intraoperative System PRV211|Cisplatin Nano-engineered Formulation PRV211|Cisplatin Nano-engineered Intraoperative Formulation PRV211|Cisplatin Nanoparticles-containing Intraoperative Formulation PRV211|Intraoperative Cisplatin System PRV211|Nano-engineered Hydrogel PRV211|Nano-engineered Polymeric Patch PRV211|PRV 211|PRV-211|PRV211,"A nano-engineered intraoperative system containing a liquid permeation enhancer (PE) and a patch composed of nanoparticles loaded with the inorganic platinum agent cisplatin, with potential antineoplastic and immunomodulating activities. Immediately following surgical tumor resection, the cisplatin nano-engineered intraoperative system PRV211 is applied intraoperatively; the PE is brushed onto the resected tumor bed and then the cisplatin patch is applied onto the same tumor site. Upon subsequent long-lasting and controlled release from the patch and penetration into the tumor bed, cisplatin forms highly reactive, charged, platinum complexes which bind to nucleophilic groups such as GC-rich sites in DNA inducing intrastrand and interstrand DNA cross-links, as well as DNA-protein cross-links. These cross-links result in apoptosis and growth inhibition of tumor cells. Cisplatin may reach regional lymph nodes and may trigger anti-tumor immune responses. Administration of PRV211 may eliminate any remaining micro metastases or close margins that could not be fully resected while avoiding system circulation. This may prevent systemic side effect and cancer recurrence.",Cisplatin Nano-engineered Intraoperative System PRV211,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology
C204794,C181141,Autologous Total Tumor mRNA Loaded Liposome Vaccine|Autologous Total Tumor mRNA Loaded DOTAP Liposome Vaccine|Autologous Total Tumor mRNA-NP Vaccine|Autologous Total Tumor mRNA-nanoparticle Vaccine,"An mRNA-based, personalized cancer vaccine consisting of total tumor RNA (TTRNA) derived from autologous tumor cells, formulated in DOTAP lipid nanoparticles, with potential immunostimulatory and antineoplastic activities. Upon administration of the autologous total tumor mRNA loaded liposome vaccine, the mRNA is taken up, translated and presented by antigen presenting cells (APCs). The expressed epitopes are then presented via major histocompatibility complex (MHC) molecules on the surface of the APCs. This leads to an induction of both cytotoxic T-lymphocyte (CTL)- and memory T-cell-dependent immune responses that specifically target and destroy the patient's cancer cells that express these tumor antigens.",Autologous Total Tumor mRNA Loaded Liposome Vaccine,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C204942,C61199|C1962,Lipid Nanoparticle Encapsulating mRNA Encoding Cas9 Protein and TTR-targeting Single Guide RNA NTLA-2001|LNP Encapsulating mRNA Encoding Cas9 Protein and TTR-targeting Single Guide RNA NTLA-2001|NTLA 2001|NTLA-2001|NTLA2001,"A lipid nanoparticle (LNP) formulation encapsulating messenger RNA (mRNA) encoding the clustered regularly interspaced short palindromic repeat (CRISPR)-associated protein 9 (Cas9) protein and a single guide RNA targeting transthyretin (TTR), that may decrease serum TTR concentration. Upon administration of LNP encapsulating mRNA encoding Cas9 protein and TTR-targeting single guide RNA NTLA-2001, the LNP moiety binds to the plasma membrane of nearby cells and releases the Cas9 mRNA and the TTR-targeting single guide RNA into the cells. The mRNA is then translated by the cellular protein translation machinery to produce Cas9, which gene-edits the TTR gene in vivo, thereby lowering the levels of misfolded TTR in the blood. This may reduce the accumulation of misfolded TTR protein in the tissues.",Lipid Nanoparticle Encapsulating mRNA Encoding Cas9 Protein and TTR-targeting Single Guide RNA NTLA-2001,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|NCI Drug Dictionary Terminology
C205639,C61199|C1962|C129820,Lipid Nanoparticle Encapsulated Self-replicating RNA Encoding Human IL-12 STX-001|LNP Encapsulated srRNA Encoding Human IL-12 STX-001|LNP-formulated Self-replicating RNA Encoding IL-12 STX-001|STX 001|STX-001|STX001,"A formulation consisting of lipid nanoparticle (LNP) encapsulating self-replicating RNA (srRNA) encoding human interleukin-12 (IL-12), with potential immunomodulatory and antineoplastic activities. Upon intratumoral injection of LNP encapsulated srRNA encoding human IL-12 STX-001, the LNPs bind to the plasma membrane of nearby tumor cells and release srRNA encoding IL-12 into the tumor cells. The srRNA amplifies within the tumor cells, and is translated by the cellular protein translation machinery to produce IL-12, which is secreted into the local tumor microenvironment (TME). The secretion of IL-12 activates the immune system by promoting the secretion of interferon-gamma (IFN-g), activating natural killer cells (NKs), and inducing cytotoxic T-lymphocyte (CTL) responses, which may enhance immune-mediated destruction of tumor cells and decrease tumor cell proliferation.",Lipid Nanoparticle Encapsulated Self-replicating RNA Encoding Human IL-12 STX-001,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C208191,C307,Cell Therapy Agent|Cell-based Agent,A preparation of one or more cell type(s) that is meant to be administered to a patient for a specific therapeutic effect.,Cell Therapy Agent,Cell|Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology
C208344,C2196,MicroRNA-10b Antagomir-Iron Oxide/Dextran-based Nanoparticle TTX-MC138|Anti-miR-10b Nanoparticle TTX-MC138|MicroRNA-10b Inhibitor TTX-MC138|MicroRNA-10b-targeted Nanoparticle-based Formulation TTX-MC138|TTX MC138|TTX-MC138|TTXMC138|miR-10b Antagomir-containing Iron Oxide-based Nanoparticle TTX-MC138|miR-10b Inhibitor TTX-MC138,"A nanoparticle-based formulation containing an antagomir and oligonucleotide targeting microRNA-10b (miR-10b) encapsulated within a nanoparticle consisting of an iron oxide core that is coated with dextran, with potential antineoplastic activity. Upon administration of microRNA-10b antagomir-iron oxide/dextran-based nanoparticle TTX-MC138, the anti-miR-10b moiety targets and binds to miR-10b inside tumor cells. This inhibits miR-10b and kills miR-10b-overexpressing tumor cells. This may inhibit tumor progression and metastasis. miR-10b, a non-coding RNA that is highly expressed in a variety of metastatic tumor cells, plays a key role in tumor cell migration, invasion and metastasis. The dextran coated iron oxide nanoparticles allow for an increased half-life, decreased clearance and increased tumor cell uptake.",MicroRNA-10b Antagomir-Iron Oxide/Dextran-based Nanoparticle TTX-MC138,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C20985,C49236,"Ablation Therapy|ABLATION|Ablation|Ablation, NOS|Catheter Ablation|Local Ablation Therapy|Local Ablative Therapy|ablation","Removal, separation, detachment, extirpation, or eradication of a body part, pathway, or function by surgery, chemical destruction, morbid process, or noxious substance.",Ablation Therapy,Therapeutic or Preventive Procedure,CDISC SDTM Procedure Terminology|CDISC SDTM Terminology|Clinical Data Interchange Standards Consortium Terminology|CPTAC Codelists Terminology|CPTAC Terminology|CPTAC Treatments Codelist|CTRP Intervention Terminology|CTRP Terminology|GDC Terminology|GDC Value Terminology
C210897,C201688,Lipid Nanoparticle Encapsulating Beta-catenin siRNA ALN-BCAT|ALN BCAT|ALN-BCAT|ALNBCAT|Beta-catenin-targeting RNA Interference Therapeutic ALN-BCAT|Beta-catenin-targeting RNAi Therapeutic ALN-BCAT|LNP Encapsulating Beta-catenin siRNA ALN-BCAT,"A formulation consisting of lipid nanoparticle (LNP)-encapsulated small interfering ribonucleic acid (siRNA) targeting beta-catenin, with potential antineoplastic activity. Upon administration of LNP encapsulating beta-catenin siRNA ALN-BCAT, the LNP formulation delivers the siRNA particles to the tumor cells where the beta-catenin siRNA targets and binds to beta-catenin mRNA. This results in the inhibition of the translation and expression of beta-catenin. This disrupts beta-catenin-dependent oncogenic signaling and prevents the transcription of Wnt target genes that regulate the proliferation, migration, invasion, and the metastatic potential of tumor cells, as well as genes regulating the immunosuppression of the tumor microenvironment (TME). Dysregulation of the Wnt/beta-catenin signaling pathway is found in a variety of tumors and drives oncogenesis.",Lipid Nanoparticle Encapsulating Beta-catenin siRNA ALN-BCAT,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C2114,C1590,Mustard Agent,"A blistering agent primarily containing sulfur and chlorine groups that alkylates DNA to form DNA crosslinks, causing inhibition of DNA synthesis.",,Classification,
C211533,C1892|C129821|C129820,Nanocurcumin|Curcumin Nanoformulation|Curcumin-based Nanoformulation,"An orally bioavailable nanoparticle-based formulation containing curcumin, a poorly water-soluble phytopolylphenol pigment isolated from the plant Curcuma longa, commonly known as turmeric, with a variety of pharmacologic properties, including antineoplastic, chemopreventive, antioxidant, anti-angiogenic, neuroprotective and anti-inflammatory activities. Upon oral administration, nanocurcumin blocks the formation of reactive-oxygen species (ROS), neutralizes free radicals, and prevents oxidative stress and DNA damage. Curcumin possesses anti-inflammatory properties as a result of inhibition of cyclooxygenases (COX) and other enzymes involved in inflammation, and inhibits the activity of nuclear factor-kappa B (NF-kB), and the NF-kB-mediated signaling pathway. This decreases the production of inflammatory mediators, such as interferon-gamma (IFNg). It disrupts various cell signal transduction pathways involved in carcinogenesis and prevents the expression of many transcription factors, and modulates the expression of many genes and proteins involved in tumor cell proliferation, invasion and angiogenesis. It also induces tumor cell apoptosis. It may also modulate the immune system, enhance an immune response against tumor cells, and may decrease regulatory T-cells (Tregs). This may prevent and/or inhibit tumor cell formation and proliferation. Compared to the very poorly absorbed curcumin alone, this nanoformulation may have greater bioavailability, an improved pharmacokinetic profile and increased efficacy.",,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C2115,C2161,DNA Minor Groove Binding Agent,"An antineoplastic agent that either covalently or noncovalently binds to the minor groove of DNA, causing inhibition of DNA synthesis. (NCI)",,Chemical Viewed Functionally,
C211940,C163758,CLDN6-targeting Agent|Claudin 6-targeting Agent,Any agent that targets claudin 6 (CLDN6).,CLDN6-targeting Agent,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology
C211959,C28227|C211940,Anti-CLDN6/Anti-CD3 Bispecific Antibody|Anti-CD3/Anti-CLDN6 Monoclonal Antibody|Anti-CLDN6 x Anti-CD3 Bispecific Antibody|Anti-CLDN6/CD3 Bispecific Antibody|Anti-Claudin-6/Anti-CD3 Bispecific Antibody|CLDN6 x CD3 Bispecific Antibody|CLDN6/CD3 Bispecific Antibody|CLDN6/CD3-directed Bispecific Antibody,A bispecific antibody targeting both the tumor-associated antigen (TAA) claudin-6 (CLDN6) and the T-cell surface antigen CD3.,,Pharmacologic Substance,
